neighbourhood,average_price
"Tallawong, New South Wales, Australia",212.0
"Tamarama, New South Wales, Australia",597.58
"Taren Point, New South Wales, Australia",466.0
"Telopea, New South Wales, Australia",228.0
"Tempe, New South Wales, Australia",169.62
"Tennyson Point, New South Wales, Australia",664.0
"Terrey Hills, New South Wales, Australia",489.75
"The Ponds, New South Wales, Australia",153.5
"The Rocks, New South Wales, Australia",419.39
"Thornleigh, New South Wales, Australia",168.0
"Toongabbie East, New South Wales, Australia",130.0
"Toongabbie, New South Wales, Australia",71.0
"Turramurra, New South Wales, Australia",259.14
"Turrella, New South Wales, Australia",182.5
"Ultimo, New South Wales, Australia",281.78
"Vaucluse, New South Wales, Australia",504.04
"Villawood, New South Wales, Australia",141.0
"Voyager Point, New South Wales, Australia",50.0
"WAVERTON, Australia",300.0
"Wahroonga, New South Wales, Australia",278.82
"Waitara, New South Wales, Australia",232.33
"Wareemba, New South Wales, Australia",176.25
"Warrawee, New South Wales, Australia",166.67
"Warriewood, New South Wales, Australia",479.27
"Warwick Farm, New South Wales, Australia",104.0
"Waterloo, New South Wales, Australia",201.21
"Watsons Bay, New South Wales, Australia",605.6
"Waverley, New South Wales, Australia",362.0
"Waverton, New South Wales, Australia",250.62
"Waverton, North Sydney, New South Wales, Australia",800.0
"Wentworth Point, New South Wales, Australia",223.39
"Wentworthville, New South Wales, Australia",152.33
"Werrington Downs, New South Wales, Australia",72.67
"Werrington, New South Wales, Australia",188.0
"West Hoxton, New South Wales, Australia",206.33
"West Pennant Hills, Australia",113.0
"West Pennant Hills, New South Wales, Australia",118.2
"West Pymble, New South Wales, Australia",129.0
"West Ryde, New South Wales, Australia",119.4
"Westleigh, New South Wales, Australia",256.0
"Westmead, New South Wales, Australia",193.8
"Whale Beach, New South Wales, Australia",1535.95
"Wheeler Heights , New South Wales, Australia",245.0
"Wheeler Heights, New South Wales, Australia",387.4
"Willoughby East, New South Wales, Australia",597.0
"Willoughby, New South Wales, Australia",420.7
"Winston Hills, New South Wales, Australia",77.0
"Wisemans Ferry, New South Wales, Australia",407.82
"Wolli Creek, New South Wales, Australia",213.72
"Wollstonecraft, New South Wales, Australia",341.89
"Woodbine, New South Wales, Australia",292.0
"Woodpark, New South Wales, Australia",110.0
"Woollahra, New South Wales, Australia",478.61
"Woolloomooloo, New South Wales, Australia",294.85
"Woolooware, New South Wales, Australia",267.6
"Woolwich, New South Wales, Australia",235.5
"Yagoona, New South Wales, Australia",164.5
"Yarrawarrah, New South Wales, Australia",100.0
"Yowie Bay, New South Wales, Australia",378.0
"Zetland, New South Wales, Australia",251.76
"darling harbour, New South Wales, Australia",161.0
"vaucluse, New South Wales, Australia",414.0
"• Saint Peters DC, New South Wales, Australia",350.0
